Driver ID,Name,Age,Gender,Years of Driving Experience,Location,Occupation,Marital Status,Socioeconomic Status,Driver's License,Accident Type,Accident Location,Date,Time,Weather Conditions,Road Conditions,Accident Severity,Average Speed,Traffic Signal Violations,Distracted Driving Frequency,Traffic Violations,Training Programs,Training Hours,Certifications,Vehicle Type,Vehicle Make,Vehicle Model,Vehicle Year,Road Type,Speed Limit,Traffic Signs Present,Road Conditions,Distance Traveled (km),Seatbelt Usage
258,Asad Ali,38,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,1/20/2009,11:30,Sunny,Dry,Property Damage,60,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
259,Saima Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,12/10/2008,15:10,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
260,Farhan Ahmed,63,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,11/15/2008,9:05,Clear,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
261,Saba Ali,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,10/20/2008,10:30,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
262,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,09/10/2008,12:50,Clear,Dry,Property Damage,55,1,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
263,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,8/15/2008,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
264,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,7/20/2008,11:25,Sunny,Dry,Property Damage,60,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
265,Ayesha Ahmed,31,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,06/10/2008,15:05,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
266,Nadeem Khan,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,5/15/2008,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
267,Rukhsar Malik,41,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,4/20/2008,16:25,Rainy,Wet,Property Damage,50,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
268,Ahmed Raza,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,03/10/2008,12:45,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
269,Fatima Khan,34,Female,8,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,2/15/2008,9:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
270,Asad Ali,38,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,1/20/2008,11:25,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
271,Saima Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,12/10/2007,15:05,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
272,Farhan Ahmed,63,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,11/15/2007,9:00,Clear,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
273,Saba Ali,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,10/20/2007,10:25,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
274,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,09/10/2007,12:45,Clear,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
275,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,8/15/2007,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
276,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,7/20/2007,11:20,Sunny,Dry,Property Damage,60,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
277,Ayesha Ahmed,31,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,06/10/2007,15:05,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
278,Nadeem Khan,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,5/15/2007,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
279,Rukhsar Malik,41,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,4/20/2007,16:20,Rainy,Wet,Property Damage,50,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
280,Ahmed Raza,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,03/10/2007,12:40,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
281,Fatima Khan,34,Female,8,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,2/15/2007,9:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
282,Asad Ali,38,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,1/20/2007,11:15,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
283,Saima Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,12/10/2006,15:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
284,Farhan Ahmed,63,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,11/15/2006,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
285,Saba Ali,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,10/20/2006,10:20,Clear,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
286,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,09/10/2006,12:40,Clear,Dry,Property Damage,55,1,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
287,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,8/15/2006,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
288,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,11/15/2006,11:10,Sunny,Dry,Property Damage,60,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
289,Ayesha Ahmed,31,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,06/10/2006,15:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
290,Nadeem Khan,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,5/15/2006,9:00,Clear,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
291,Rukhsar Malik,41,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,06/10/2006,16:15,Rainy,Wet,Property Damage,50,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
292,Ahmed Raza,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,03/10/2006,12:35,Clear,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
293,Fatima Khan,34,Female,8,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,2/15/2006,9:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
294,Asad Ali,38,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,1/20/2006,11:05,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
295,Saima Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,12/10/2005,15:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
296,Farhan Ahmed,63,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,11/15/2005,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
297,Saba Ali,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,10/20/2005,10:15,Clear,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
298,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,09/10/2005,12:35,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
299,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,8/15/2005,9:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
300,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,8/15/2005,11:00,Sunny,Dry,Property Damage,60,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
301,Ali Hassan,36,Male,12,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,06/10/2005,12:30,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
302,Samina Malik,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,5/15/2005,9:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
303,Usman Ahmed,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,5/15/2005,10:55,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
304,Aisha Khan,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,03/10/2005,15:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
305,Kamran Ali,61,Male,32,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,2/15/2005,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
306,Farah Malik,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,1/20/2005,10:30,Sunny,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
307,Imran Ahmed,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,12/10/2004,12:35,Clear,Dry,Property Damage,55,1,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
308,Nida Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,11/15/2004,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
309,Yasir Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,10/20/2004,11:15,Sunny,Dry,Property Damage,60,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
310,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,09/10/2004,14:45,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
311,Shahid Ahmed,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,8/15/2004,9:00,Clear,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
312,Ayesha Khan,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,8/15/2004,10:45,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
313,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,06/10/2004,12:40,Clear,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
314,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,5/15/2004,9:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
315,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,4/20/2004,10:30,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
316,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,03/10/2004,15:15,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
317,Kamran Ali,61,Male,32,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,2/15/2004,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
318,Farah Malik,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,1/20/2004,10:00,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
319,Imran Ahmed,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,12/10/2003,12:45,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
320,Nida Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,11/15/2003,9:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
321,Yasir Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,10/20/2003,11:30,Sunny,Dry,Property Damage,60,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
322,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,09/10/2003,14:30,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
323,Shahid Ahmed,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,8/15/2003,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
324,Ayesha Khan,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,7/20/2003,10:15,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
325,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,06/10/2003,12:50,Clear,Dry,Property Damage,55,1,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
326,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,5/15/2003,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
327,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,4/20/2003,10:15,Sunny,Dry,Property Damage,60,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
328,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,03/10/2003,14:15,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
329,Kamran Ali,61,Male,32,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,2/15/2003,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
330,Farah Malik,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,1/20/2003,10:20,Sunny,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
331,Imran Ahmed,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,12/10/2002,12:55,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
332,Nida Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,11/15/2002,9:00,Clear,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
333,Yasir Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,10/20/2002,11:45,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
334,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,09/10/2002,14:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
335,Shahid Ahmed,62,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,8/15/2002,9:00,Clear,Dry,Property Damage,55,1,Moderate,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
336,Ayesha Khan,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,7/20/2002,10:25,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
337,Imran Hassan,38,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,06/10/2002,12:50,Clear,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
338,Mahnoor Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,5/15/2002,9:00,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
339,Waqas Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,4/20/2002,10:20,Sunny,Dry,Property Damage,60,1,Moderate,1,Defensive Driving Course,14,Defensive Driving,Sedan,Toyota,Corolla,1999,Urban,50 km/h,Yes,No Construction Zone,500,Yes
340,Sadia Malik,32,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,03/10/2002,14:45,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,1999,Urban,50 km/h,Yes,No Construction Zone,700,Yes
341,Kamran Ali,61,Male,33,Lahore,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,2/15/2002,9:00,Clear,Dry,Property Damage,55,1,Moderate,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
342,Farah Malik,40,Female,15,Karachi,Lawyer,Divorced,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,1/20/2002,10:40,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,1998,Urban,50 km/h,Yes,No Construction Zone,400,Yes
343,Imran Ahmed,37,Male,10,Islamabad,Business Owner,Married,Upper Class,Yes,Rear-end Collision,Blue Area,12/10/2001,12:30,Clear,Dry,Property Damage,55,1,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,1998,Urban,50 km/h,Yes,No Construction Zone,800,Yes
344,Nida Khan,33,Female,9,Lahore,Accountant,Single,Middle Class,Yes,Intersection Collision,Mall Road,11/15/2001,9:00,Clear,Dry,Property Damage,55,0,Low,2,None,0,None,Sedan,Honda,Civic,1998,Urban,50 km/h,Yes,No Construction Zone,700,Yes
345,Yasir Ali,39,Male,17,Karachi,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,10/20/2001,11:30,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,1997,Urban,50 km/h,Yes,No Construction Zone,500,Yes
